iter	Passed	Remaining
0	7	628
1	11	481
2	14	409
3	17	370
4	25	430
5	28	389
6	32	372
7	34	344
8	37	329
9	39	311
10	42	298
11	44	282
12	46	269
13	49	259
14	50	248
15	52	236
16	57	241
17	60	233
18	62	227
19	65	221
20	68	217
21	69	209
22	71	202
23	74	198
24	77	194
25	78	188
26	81	183
27	83	179
28	86	175
29	88	171
30	90	165
31	91	160
32	93	155
33	95	151
34	99	150
35	102	148
36	105	144
37	108	142
38	110	138
39	113	135
40	114	131
41	116	127
42	117	122
43	119	119
44	120	115
45	122	111
46	123	107
47	125	104
48	126	100
49	128	97
50	129	94
51	131	90
52	132	87
53	134	84
54	135	81
55	138	78
56	140	76
57	142	73
58	144	70
59	146	68
60	148	65
61	150	63
62	152	60
63	154	58
64	156	55
65	158	52
66	160	50
67	161	47
68	163	45
69	165	42
70	166	39
71	168	37
72	170	35
73	171	32
74	173	30
75	175	27
76	176	25
77	179	22
78	180	20
79	182	18
80	183	15
81	185	13
82	186	11
83	188	8
84	189	6
85	191	4
86	193	2
87	195	0
